Chemin,Instance déliberatrice,Identifiant,Majoration,Type recours,Personnalité,Décision,Code juridiction,Nom juridiction,Date,Lien fichier
../data/raw/DTA/2023/12/TA64/DTA_2102739_20231229.xml,Tribunal administratif,2102739,40%,Interprétation,Personne morale,Rejet,64,Tribunal Administratif de Pau,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA64/DTA_2102739_20231229.xml
../data/raw/DTA/2023/12/TA64/DTA_2302588_20231201.xml,Tribunal administratif,2302588,40%,Plein Contentieux,Personne physique,Satisfaction Totale,64,Tribunal Administratif de Pau,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA64/DTA_2302588_20231201.xml
../data/raw/DTA/2023/12/TA06/DTA_2003786_20231207.xml,Tribunal administratif,2003786,40%,Plein Contentieux,Personne morale,Satisfaction Totale,6,Tribunal Administratif de Nice,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA06/DTA_2003786_20231207.xml
../data/raw/DTA/2023/12/TA06/DTA_2002874_20231207.xml,Tribunal administratif,2002874,40%,Plein Contentieux,Personne morale,Satisfaction Partielle,6,Tribunal Administratif de Nice,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA06/DTA_2002874_20231207.xml
../data/raw/DTA/2023/12/TA06/DTA_2100849_20231207.xml,Tribunal administratif,2100849,40%,Plein Contentieux,Personne morale,Rejet,6,Tribunal Administratif de Nice,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA06/DTA_2100849_20231207.xml
../data/raw/DTA/2023/12/TA30/DTA_2103892_20231215.xml,Tribunal administratif,2103892,40%,Plein Contentieux,Personne morale,Satisfaction Partielle,30,Tribunal Administratif de Nîmes,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA30/DTA_2103892_20231215.xml
../data/raw/DTA/2023/12/TA30/DTA_2103386_20231215.xml,Tribunal administratif,2103386,40%,Plein Contentieux,Personne morale,Rejet,30,Tribunal Administratif de Nîmes,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA30/DTA_2103386_20231215.xml
../data/raw/DTA/2023/12/TA30/DTA_2022278_20231201.xml,Tribunal administratif,2022278,40%,Plein Contentieux,Personne morale,Satisfaction Totale,30,Tribunal Administratif de Nîmes,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA30/DTA_2022278_20231201.xml
../data/raw/DTA/2023/12/TA30/DTA_2102040_20231215.xml,Tribunal administratif,2102040,40%,Plein Contentieux,Personne morale,Rejet,30,Tribunal Administratif de Nîmes,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA30/DTA_2102040_20231215.xml
../data/raw/DTA/2023/12/TA83/DTA_2102049_20231211.xml,Tribunal administratif,2102049,40%,Plein Contentieux,Personne morale,Rejet,83,Tribunal Administratif de Toulon,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA83/DTA_2102049_20231211.xml
